Member State,Fund,Amount (€)
Poland,European Territorial Cooperation: Transnational Cooperation,157300000
Portugal,Less Developed Regions,16671200000
Spain,Cohesion Fund,
Latvia,Youth Employment Initiative (additional allocation),29000000
Finland,European Territorial Cooperation: Cross-Border Cooperation,139400000
Finland,Less Developed Regions,
Bulgaria,European Territorial Cooperation: Cross-Border Cooperation,134200000
Germany,Less Developed Regions,
Sweden,Youth Employment Initiative (additional allocation),44200000
Germany,Total,19234900000
Technical assistance,More Developed Regions,
Hungary,European Territorial Cooperation: Transnational Cooperation,41400000
EU28,More Developed Regions,54350500000
Czech Republic,European Territorial Cooperation: Transnational Cooperation,43000000
Czech Republic,More Developed Regions,88200000
Luxembourg,More Developed Regions,39600000
Slovenia,Transition Regions,
Urban innovative actions,European Territorial Cooperation: Transnational Cooperation,
Urban innovative actions,Total,371900000
Bulgaria,Transition Regions,
Bulgaria,Less Developed Regions,5089300000
Spain,More Developed Regions,11074400000
Poland,Youth Employment Initiative (additional allocation),252400000
Spain,European Territorial Cooperation: Transnational Cooperation,187600000
Denmark,Cohesion Fund,
Finland,Total,1465800000
Italy,Youth Employment Initiative (additional allocation),567500000
Hungary,Cohesion Fund,6025400000
Interregional cooperation,Less Developed Regions,
France,Youth Employment Initiative (additional allocation),310200000
Ireland,Total,1188600000
Technical assistance,Cohesion Fund,
Greece,Youth Employment Initiative (additional allocation),171500000
Greece,Cohesion Fund,3250200000
Slovenia,European Territorial Cooperation: Transnational Cooperation,8400000
Romania,Total,22993800000
Czech Republic,Transition Regions,
Estonia,European Territorial Cooperation: Transnational Cooperation,5500000
Sweden,Outermost and northern sparsely populated regions,206900000
Bulgaria,Youth Employment Initiative (additional allocation),55200000
Interregional cooperation,European Territorial Cooperation: Transnational Cooperation,
United Kingdom,Outermost and northern sparsely populated regions,
Bulgaria,Cohesion Fund,2278300000
Denmark,Transition Regions,71400000
Romania,European Territorial Cooperation: Cross-Border Cooperation,364000000
Belgium,Outermost and northern sparsely populated regions,
Ireland,European Territorial Cooperation: Transnational Cooperation,18300000
Slovenia,More Developed Regions,847300000
Austria,Total,1235600000
France,European Territorial Cooperation: Transnational Cooperation,264600000
Slovakia,European Territorial Cooperation: Cross-Border Cooperation,201100000
Malta,Less Developed Regions,
Slovenia,Cohesion Fund,895400000
United Kingdom,Cohesion Fund,
Poland,Cohesion Fund,23208000000
Italy,European Territorial Cooperation: Transnational Cooperation,246700000
Romania,Transition Regions,
Poland,More Developed Regions,2242400000
Latvia,Total,4511800000
Croatia,European Territorial Cooperation: Cross-Border Cooperation,127800000
Germany,Transition Regions,9771500000
Austria,Transition Regions,72300000
Ireland,European Territorial Cooperation: Cross-Border Cooperation,150500000
Malta,Total,725000000
Malta,Transition Regions,490200000
Interregional cooperation,More Developed Regions,
Hungary,Total,21905900000
Greece,More Developed Regions,2528200000
Latvia,European Territorial Cooperation: Cross-Border Cooperation,84300000
France,Less Developed Regions,3407800000
Malta,Youth Employment Initiative (additional allocation),
EU28,Less Developed Regions,182171800000
Belgium,Less Developed Regions,
Portugal,More Developed Regions,1275500000
Lithuania,Youth Employment Initiative (additional allocation),31800000
Croatia,Cohesion Fund,2559500000
Interregional cooperation,Cohesion Fund,
Lithuania,Cohesion Fund,2048900000
Netherlands,Total,1404300000
Estonia,Transition Regions,
Czech Republic,Total,21982900000
Interregional cooperation,European Territorial Cooperation: Cross-Border Cooperation,
Germany,European Territorial Cooperation: Cross-Border Cooperation,626700000
Estonia,Cohesion Fund,1073300000
Spain,Outermost and northern sparsely populated regions,484100000
Greece,Total,15521900000
Slovenia,Total,3074800000
Netherlands,More Developed Regions,1014600000
Interregional cooperation,Outermost and northern sparsely populated regions,
Sweden,Less Developed Regions,
Italy,Transition Regions,1102000000
Lithuania,Less Developed Regions,4628700000
Estonia,European Territorial Cooperation: Cross-Border Cooperation,49900000
Estonia,Total,3590000000
Malta,European Territorial Cooperation: Cross-Border Cooperation,15300000
Germany,More Developed Regions,8498000000
Malta,Outermost and northern sparsely populated regions,
Poland,Total,77567000000
Latvia,Less Developed Regions,3039800000
Portugal,Transition Regions,257600000
United Kingdom,Youth Employment Initiative (additional allocation),206100000
Czech Republic,Less Developed Regions,15282500000
Denmark,More Developed Regions,255100000
Greece,Outermost and northern sparsely populated regions,
Finland,More Developed Regions,999100000
Luxembourg,Transition Regions,
Ireland,Cohesion Fund,
Cyprus,Less Developed Regions,
Czech Republic,Cohesion Fund,6258900000
Czech Republic,European Territorial Cooperation: Cross-Border Cooperation,296700000
