"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Hydro","Net maximum electrical capacity","Megawatt","142,246.622",""
"2009","European Union - 27 countries (from 2020)","Geothermal","Net maximum electrical capacity","Megawatt","726.915",""
"2009","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","70,852.527",""
"2009","European Union - 27 countries (from 2020)","Solar","Net maximum electrical capacity","Megawatt","16,999.489",""
"2009","European Union - 28 countries (2013-2020)","Hydro","Net maximum electrical capacity","Megawatt","146,630.622",""
"2009","European Union - 28 countries (2013-2020)","Geothermal","Net maximum electrical capacity","Megawatt","726.915",""
"2009","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","75,274.527",""
"2009","European Union - 28 countries (2013-2020)","Solar","Net maximum electrical capacity","Megawatt","17,026.489",""
"2009","Euro area - 19 countries  (from 2015)","Hydro","Net maximum electrical capacity","Megawatt","109,479.622",""
"2009","Euro area - 19 countries  (from 2015)","Geothermal","Net maximum electrical capacity","Megawatt","726.915",""
"2009","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","64,372.440",""
"2009","Euro area - 19 countries  (from 2015)","Solar","Net maximum electrical capacity","Megawatt","16,517.889",""
"2009","Belgium","Hydro","Net maximum electrical capacity","Megawatt","1,417.000",""
"2009","Belgium","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Belgium","Wind","Net maximum electrical capacity","Megawatt","608.000",""
"2009","Belgium","Solar","Net maximum electrical capacity","Megawatt","386.000",""
"2009","Bulgaria","Hydro","Net maximum electrical capacity","Megawatt","3,001.000",""
"2009","Bulgaria","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Bulgaria","Wind","Net maximum electrical capacity","Megawatt","333.000",""
"2009","Bulgaria","Solar","Net maximum electrical capacity","Megawatt","2.000",""
"2009","Czechia","Hydro","Net maximum electrical capacity","Megawatt","2,184.000",""
"2009","Czechia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Czechia","Wind","Net maximum electrical capacity","Megawatt","193.000",""
"2009","Czechia","Solar","Net maximum electrical capacity","Megawatt","464.600",""
"2009","Denmark","Hydro","Net maximum electrical capacity","Megawatt","9.000",""
"2009","Denmark","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Denmark","Wind","Net maximum electrical capacity","Megawatt","3,482.087",""
"2009","Denmark","Solar","Net maximum electrical capacity","Megawatt","5.000",""
"2009","Germany (until 1990 former territory of the FRG)","Hydro","Net maximum electrical capacity","Megawatt","11,238.000",""
"2009","Germany (until 1990 former territory of the FRG)","Geothermal","Net maximum electrical capacity","Megawatt","6.000",""
"2009","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","25,732.000",""
"2009","Germany (until 1990 former territory of the FRG)","Solar","Net maximum electrical capacity","Megawatt","10,566.000",""
"2009","Estonia","Hydro","Net maximum electrical capacity","Megawatt","7.000",""
"2009","Estonia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Estonia","Wind","Net maximum electrical capacity","Megawatt","104.000",""
"2009","Estonia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Ireland","Hydro","Net maximum electrical capacity","Megawatt","526.000",""
"2009","Ireland","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Ireland","Wind","Net maximum electrical capacity","Megawatt","1,251.300",""
"2009","Ireland","Solar","Net maximum electrical capacity","Megawatt","0.617",""
"2009","Greece","Hydro","Net maximum electrical capacity","Megawatt","3,201.000",""
"2009","Greece","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Greece","Wind","Net maximum electrical capacity","Megawatt","1,171.000",""
"2009","Greece","Solar","Net maximum electrical capacity","Megawatt","46.000",""
"2009","Spain","Hydro","Net maximum electrical capacity","Megawatt","18,505.000",""
"2009","Spain","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Spain","Wind","Net maximum electrical capacity","Megawatt","19,176.000",""
"2009","Spain","Solar","Net maximum electrical capacity","Megawatt","3,705.000",""
"2009","France","Hydro","Net maximum electrical capacity","Megawatt","25,208.000",""
"2009","France","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","France","Wind","Net maximum electrical capacity","Megawatt","4,582.000",""
"2009","France","Solar","Net maximum electrical capacity","Megawatt","277.000",""
"2009","Croatia","Hydro","Net maximum electrical capacity","Megawatt","2,080.000",""
"2009","Croatia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Croatia","Wind","Net maximum electrical capacity","Megawatt","70.000",""
"2009","Croatia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Italy","Hydro","Net maximum electrical capacity","Megawatt","21,371.000",""
"2009","Italy","Geothermal","Net maximum electrical capacity","Megawatt","695.000",""
"2009","Italy","Wind","Net maximum electrical capacity","Megawatt","4,879.000",""
"2009","Italy","Solar","Net maximum electrical capacity","Megawatt","1,264.000",""
"2009","Cyprus","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2009","Cyprus","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Cyprus","Wind","Net maximum electrical capacity","Megawatt","0.225",""
